ID,工作项类型,严重程度,标题,状态,负责人,截止日期,预估工时（小时）,已登记工时（小时）,剩余工时（小时）,重新打开-停留次数,创建者,创建时间,所属项目
#9768,任务,,调整BID功能,已完成,claire.liu-HFSW,2024/3/1,0h,0h,0h,,claire.liu-HFSW,2024/2/1 17:10,GV305CEU_GEOD
#9509,任务,,调整GTIDA功能,已完成,claire.liu-HFSW,2024/2/7,0h,0h,0h,,claire.liu-HFSW,2024/1/29 15:25,GV305CEU_GEOD
#9508,任务,,调整GTDOG/GTDIS/GTIOB/GTWLT/GTUDF/GTDIS命令,已完成,claire.liu-HFSW,2024/2/7,0h,0h,0h,,claire.liu-HFSW,2024/1/29 15:19,GV305CEU_GEOD
#8697,缺陷,Major,ST[GTSSR]设备定位失败情况下，开启PDS，上报STR后重启设备，重启回来后一直运动，设备上报了GTSTP报文,关闭,claire.liu-HFSW,,0h,1h,0h,0,kivi.luo-HFST,2024/1/5 20:08,GV57CEU
#1956,缺陷,Major,ST[GTBID]MAC1的WKF300低电触发的报警会由相同位置的MAC2触发退出报警,关闭,claire.liu-HFSW,,0h,0h,0h,0,reese.wang-HFST,2023/6/16 13:38,GV350CEU
#1953,缺陷,Major,ST[GTBID]概率出现熄火的同时，之前的MAC进行授权没有失效的时候，一条新的MAC进行IDA的授权,关闭,claire.liu-HFSW,,0h,0h,0h,1,reese.wang-HFST,2023/6/16 13:25,GV350CEU
#1942,缺陷,Major,ST[GTBID]<Keyfob Detection Mode>为模式5，静止状态上报bid后晃动设备上报STT-22后，下一条BID的上报间隔从STT-22开始记时,关闭,claire.liu-HFSW,,0h,0h,0h,0,reese.wang-HFST,2023/6/16 10:37,GV350CEU
#1288,缺陷,Normal,ST[BID] 下发BID命令失败，需要再次下发才能下发成功,关闭,claire.liu-HFSW,,0h,0h,0h,0,diana.ye-HFST,2023/5/29 18:46,GV305CEU
#116,缺陷,Critical,ST[SSR]无法触发SSR,关闭,claire.liu-HFSW,,0h,0h,0h,0,shyla.wu-HFST,2023/4/10 18:38,GV57CG
#10252,FAE_BUG,,GB100 firmware issue,RESOLVED,bennett.cui-HFSW,,0h,0h,0h,,msudic,2024/2/22 1:00,GB100P
#10213,缺陷,Major,ST[GTACD]<ID Read Timer>=5，DR200一直刷卡（卡贴在DR200上)，只会上报一次IDA报文,关闭,bennett.cui-HFSW,,0h,0h,0h,0,reese.wang-HFST,2024/2/21 11:18,GV350CEU
#10083,缺陷,Normal,ST[ACD--稳定性]设备连接一个温湿度传感器，三个温度传感器，高概率读不到数据&读不到传感器,关闭,bennett.cui-HFSW,,1.5h,1.5h,0h,0,bella.ge-HFST,2024/2/6 10:20,GV305CEU
#10075,缺陷,Normal,"ST[GTACD&HUM]send interval=0,只改output中的参数,命令ACK了但不会响应",关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,bella.ge-HFST,2024/2/5 18:23,GV305CEU
#10074,缺陷,Normal,ST[GTTMP]tmp--Ssend interval 上报时间间隔不对,关闭,bennett.cui-HFSW,,1.5h,1.5h,0h,0,bella.ge-HFST,2024/2/5 18:15,GV305CEU
#9996,FAE_BUG,,Test Bug status on FAE Bug,NO_FEEDBACK,bennett.cui-HFSW,,0h,0h,0h,,shoey.fu,2024/2/5 14:01,GB100P
#9961,缺陷,Major,ST[TPM]检测胎压超过127，上报为负值,关闭,bennett.cui-HFSW,,1h,1h,0h,0,daisy.yu-HFST,2024/2/4 15:56,GV58CEU_Pro
#9837,缺陷,Critical,ST[TOF]下发TOF Mode=4，设备搜索到周边有非白非黑名单网络不注册,关闭,bennett.cui-HFSW,,3h,3h,0h,0,janet.he-HFST,2024/2/2 19:10,GV58CEU_Pro
#9833,缺陷,Major,ST[充电]设备在充满电之后，外电一直在位，内电往下降低于回充电压4.15v之后又开始充电再次上报BTC充满上报STC的现象,待讨论,bennett.cui-HFSW,,1h,1h,0h,0,daisy.yu-HFST,2024/2/2 18:16,GB100P
#9832,缺陷,Major,ST[充电]设备充电过程中出现老是充不满不上报GTSTC报文，红灯一直快闪的情况,关闭,bennett.cui-HFSW,,1h,1h,0h,0,daisy.yu-HFST,2024/2/2 18:11,GB100P
#9792,任务,,分析GB100P硬件遇到的电池充电电压问题,已完成,bennett.cui-HFSW,,0h,3h,0h,,bennett.cui-HFSW,2024/2/2 10:31,GB100P
#9789,任务,,修改ACD命令的描述，添加HUM命令和报文并转成RST文件,已完成,bennett.cui-HFSW,,0h,4.5h,0h,,bennett.cui-HFSW,2024/2/2 10:27,Protocol_Dev
#9701,PROTOCOL,,PROTOCOL: AT+GTACD兼容CHT1305温湿度传感器,已完成,bennett.cui-HFSW,2024/2/2,3h,3h,0h,,bennett.cui-HFSW,2024/1/31 19:00,GV305CEU
#9617,任务,,修正协议命令AT+GTIEX/OEX 中描述,进行中,bennett.cui-HFSW,2024/2/6,0h,3h,0h,,rayna.ren-HFST,2024/1/30 18:50,SW_APP
#9577,任务,,在Root Draft协议中添加AT+GTUPD命令内容,已完成,bennett.cui-HFSW,,10h,10h,0h,,bennett.cui-HFSW,2024/1/30 13:36,Protocol_Dev
#9450,需求,,SW[BB-GV305CEU] support CHT1305 1-wire temperature and humidity sensor[HHP],RESOLVED,bennett.cui-HFSW,2024/2/27,0h,3h,0h,,penny.pei,2024/1/26 15:43,GV305CEU
#9394,缺陷,Major,ST[TPM]Sensor ID置空下发时，Sensor ID被清空，未能维持原值,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,janet.he-HFST,2024/1/25 15:58,GV58CEU_Pro
#9357,缺陷,Critical,ST[QMSCFG]下发错误的AT命令，会上报ACH到QMS服务器,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,janet.he-HFST,2024/1/24 16:44,GV58CEU_Pro
#9288,缺陷,Major,ST[ACD&ERI]1-wire连接温湿度传感器更换到多连接线时ERI报文出现乱码,关闭,bennett.cui-HFSW,,2h,2h,0h,0,helena.hu-HFST,2024/1/23 11:40,GV58CEU
#9198,缺陷,Major,ST[PDS]开启PDS保存设备input状态，重启过程中改变input状态，设备开机后不上报DIS报文,待处理,bennett.cui-HFSW,,0h,0h,0h,0,zoe.tan-HFST,2024/1/19 17:07,GV57CG
#9140,缺陷,Major,ST[RTO]设备没有设置Modem IMEI，在HEX格式下查询的Modem IMEI不为空，与设备的IMEI上报一致,关闭,bennett.cui-HFSW,,1h,1h,0h,0,secret.wang-HFST,2024/1/18 14:14,GV500CG
#9118,FAE_BUG,,"[GB100] - ferry issue, problem with connecting to the network after leaving the ferry",WAIT_FEEDBACK,bennett.cui-HFSW,,0h,11h,0h,,krepusic,2024/1/17 19:09,GB100
#8983,缺陷,Major,ST[SLM]Sleep Period Start与Sleep Period End默认值为0000，Sleep Period Enable为1命令下发失败,已修复,bennett.cui-HFSW,,1.5h,1.5h,0h,0,shyla.wu-HFST,2024/1/12 18:44,GV57CEU_ITR
#8959,缺陷,Major,ST[IOB]配置IOB中使用EIO100和数字输入触发，但是不开启IEX、DIS，不会触发IOB上报,待处理,bennett.cui-HFSW,,0h,0h,0h,0,anna.kong-HFST,2024/1/12 14:56,GV305CEU
#8771,缺陷,Critical,ST[GTBTS]<Bluetooth Report Mask>包含了Bit 12 <Peer Name>，但实际上报并没有此位,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,reese.wang-HFST,2024/1/9 10:16,GV500CG
#8766,缺陷,Major,ST[QRC-92H]无法设置data171或者包含data171的组合,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,daisy.yu-HFST,2024/1/8 19:45,GV58CEU_Pro
#8762,缺陷,Major,ST[TPM]报警模式和上报event code与协议定义不符合，不太合理,关闭,bennett.cui-HFSW,,4h,4.5h,0h,0,daisy.yu-HFST,2024/1/8 19:12,GV58CEU_Pro
#8744,缺陷,Major,ST[TPM&QRC]蓝牙扫描胎压数据data171不能在别的QRC设置,关闭,bennett.cui-HFSW,,3h,3h,0h,1,daisy.yu-HFST,2024/1/8 16:30,GV58CEU_Pro
#8724,缺陷,Major,ST[TPM]参数值检查问题,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,daisy.yu-HFST,2024/1/8 14:21,GV58CEU_Pro
#8644,缺陷,Major,ST[BTEID]设置ADV中Advertising Data Type为1，EID中Beacon ID Type位0和1切换，不能实时广播Mac和设置的值,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,daisy.yu-HFST,2024/1/5 10:28,GV58CEU_Pro
#8640,缺陷,Major,ST[BTEID]设置ADV中Advertising Data Type为1，EID中Beacon ID Type为1，Beacon ID设置不同的值，不能实时广播出来需要开关ADV或者重启,关闭,bennett.cui-HFSW,,1.5h,1.5h,0h,0,daisy.yu-HFST,2024/1/5 10:03,GV58CEU_Pro
#8636,缺陷,Major,ST[BTEID]设置ADV中Advertising Data Type为1，EID为默认值，广播BID一直为0；设置ADV中定向广播地址，EID广播BID为该地址，应该广播为设备的MAC地址,关闭,bennett.cui-HFSW,,1.5h,1.5h,0h,0,daisy.yu-HFST,2024/1/4 20:22,GV58CEU_Pro
#8635,缺陷,Major,ST[BTEID]参数值检查问题,关闭,bennett.cui-HFSW,,1h,1h,0h,0,daisy.yu-HFST,2024/1/4 19:36,GV58CEU_Pro
#8598,缺陷,Critical,ST[SLM&DOG]设备静止进入睡眠上报GTSLM类型10的报文后，设备达到条件不触发GTDOG功能,关闭,bennett.cui-HFSW,,0h,0.5h,0h,0,secret.wang-HFST,2024/1/4 14:05,GV500CG
#8418,缺陷,Normal,ST[SLM]设备单独使用Motion Enable的时候，参数Motion Wakeup Debounce设置0的时候，进入SLM之后设备动无法唤醒设备，建议将参数Motion Wakeup Debounce范围限定到1-99，减少无法唤醒设备的风险,关闭,bennett.cui-HFSW,,1h,1h,0h,0,secret.wang-HFST,2023/12/28 13:30,GV500CG
#8355,缺陷,Major,ST[SLM]<Ignition Enable>=1，开启PDS保存点熄火，设备虚拟点火/熄火重启后其他条件满足设备会进入睡眠,关闭,bennett.cui-HFSW,,2h,2h,0h,0,freda.wang-HFST,2023/12/27 12:04,GV75LAU
#8210,任务,,添加AT@TPM功能,已完成,bennett.cui-HFSW,,0h,23h,0h,,abert.xu-HFSW,2023/12/22 15:52,GV58CEU_Pro
#8126,缺陷,Critical,ST[OTHER]设备当前关机电压没有按照最新的电池表电压关机，还是按照以前的电压关机,关闭,bennett.cui-HFSW,,0h,0h,0h,0,secret.wang-HFST,2023/12/21 14:27,GV500CG
#8006,缺陷,Major,ST[ACD]下发RTO-4-ACD，输出灯不灭,关闭,bennett.cui-HFSW,,1h,1h,0h,0,freda.wang-HFST,2023/12/19 15:23,GV75LAU
#7676,缺陷,Critical,ST[SLM]  设备没有上报22类型SLM报文,关闭,bennett.cui-HFSW,,2h,2h,0h,0,secret.wang-HFST,2023/12/9 13:54,GV500CG
#7668,缺陷,Critical,设备进入slm20之后，马上晃动设备再次唤醒，设备没有SLM21报文上报,关闭,bennett.cui-HFSW,,2h,2h,0h,0,secret.wang-HFST,2023/12/8 17:38,GV500CG
#7629,缺陷,Major,ST[GTTOW]上报STT-16后，10s后才上报TOW报文,关闭,bennett.cui-HFSW,,2h,2h,0h,0,reese.wang-HFST,2023/12/8 10:19,GV500CG
#7487,缺陷,Normal,GV500CGR01A01V19耗流高,关闭,bennett.cui-HFSW,,1h,1h,0h,0,glenn.hua-HFHT,2023/12/5 11:00,GV500CG
#7465,PROTOCOL,,#7308- GTDIS为Ignition新增<Validity Time>参数,已完成,bennett.cui-HFSW,,1h,2h,0h,,bennett.cui-HFSW,2023/12/4 17:19,SW_APP
#7398,需求,,SW[BB-GV58CEU] count input triggered times [Monito],NO_FEEDBACK,bennett.cui-HFSW,2023/12/27,0h,9.5h,0h,,penny.pei,2023/12/1 11:24,GV58CEU
#7299,PROTOCOL,,项目中input/output状态的描述需统一使用active/inactive,已完成,bennett.cui-HFSW,2023/12/8,0h,4h,0h,,john.wang-HFSW,2023/11/29 11:01,SW_APP
#7222,缺陷,Major,ST[QMSCFG]非QMS服务器下发QMS端AT命令，设备会上报ACH到QMS服务器,关闭,bennett.cui-HFSW,,2h,2h,0h,0,janet.he-HFST,2023/11/27 16:28,GV58CEU_Pro
#7221,缺陷,Major,ST[QMSCFG]下发错误的AT命令，开启Notification Mode时，会上报ACH到QMS服务器,关闭,bennett.cui-HFSW,,2h,2h,0h,0,janet.he-HFST,2023/11/27 16:07,GV58CEU_Pro
#7151,缺陷,Major,ST[QMSCFG]根据研讨会定义，QMSCFG命令和F5H支持从Track服务器通过QMS密码设置,关闭,bennett.cui-HFSW,,2h,2h,0h,0,janet.he-HFST,2023/11/24 13:25,GV58CEU_Pro
#7139,缺陷,Major,ST[QMSCFG]QMSCFG中Mode=0时，ACH报文仍然能够上报到QMS服务器,关闭,bennett.cui-HFSW,,1h,1h,0h,0,janet.he-HFST,2023/11/24 11:21,GV58CEU_Pro
#7093,缺陷,Critical,ST[GTIEX]使能所有input，只有Input A未上报GTDIS报文,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,vicky.huang-HFST,2023/11/22 20:26,GV350CEU
#7018,缺陷,Major,ST[QMSCFG]从Track服务器端下发查询命令查询QMS端配置，能够查询成功，并上报QRY报文到Track服务器,关闭,bennett.cui-HFSW,,1h,1h,0h,0,janet.he-HFST,2023/11/21 10:50,GV58CEU_Pro
#6871,缺陷,Major,ST[QMSCFG]从串口下发UPD/UPC命令，使用QMS端密码，F1H和F2H报文会上报到Track服务器,关闭,bennett.cui-HFSW,,1h,1h,0h,1,janet.he-HFST,2023/11/15 11:05,GV58CEU_Pro
#6665,缺陷,Major,ST[URT]URT 模式5时改变波特率，刷ibuttion不上报IDA，需要改变波特率（或者改变URT其他参数）后再次下发URT指令,待处理,bennett.cui-HFSW,,0h,10h,0h,0,freda.wang-HFST,2023/11/8 16:49,GV75LAU
#6625,缺陷,Critical,ST[GTIEX]使能所有input，只有Input A未上报GTDIS报文,关闭,bennett.cui-HFSW,,1h,0.5h,0.5h,0,vicky.huang-HFST,2023/11/7 17:07,GV355CEU
#6540,缺陷,Normal,HT电池正负极线虚焊时，BB无法检测到,待讨论,bennett.cui-HFSW,,2h,2h,0h,0,wade.he-HFHT,2023/11/2 19:53,GB100P
#6223,缺陷,Normal,ST[协议]部分协议存在问题,关闭,bennett.cui-HFSW,,4h,4h,0h,0,alily.he-HFST,2023/10/25 14:05,GV500CG
#6096,缺陷,Critical,ST[GTPDS]设备上报过STR报文后，下发PDS-2然后重启设备，重启后设备不上报STR报文,关闭,bennett.cui-HFSW,,0h,0h,0h,0,alily.he-HFST,2023/10/20 11:49,GV500CG
#6008,FAE_BUG,,SW[GV310LAU_A04V10]illogical temp sensor values[Satrack],RESOLVED,bennett.cui-HFSW,2023/11/3,0h,7h,0h,,hector,2023/10/18 1:03,GV310LAU
#5929,缺陷,Normal,ST[EPS&DOS]Output ID=0，Output Status=0无法关闭EPS输出,关闭,bennett.cui-HFSW,,4h,3h,1h,0,nina.du-HFST,2023/10/16 14:24,GV58LAU
#5268,缺陷,Major,ST[GTCFG]设备虚拟点火之后，立马将内电池充电模式从按需修改为点火充电，内电池没有停止充电，继续进行充电,待处理,bennett.cui-HFSW,,0h,0h,0h,0,secret.wang-HFST,2023/9/18 16:05,GV500CG
#4254,缺陷,Major,ST[TOF]设置TOF Mode 4，设备不能正确的优先选择白名单注册,关闭,bennett.cui-HFSW,,3h,3h,0h,0,janet.he-HFST,2023/8/18 15:47,GV58CEU_Pro
#4023,缺陷,Critical,ST[协议]GV500CG协议ASCII报文参数范围问题,关闭,bennett.cui-HFSW,,2h,2h,0h,0,sandy.wu-HFST,2023/8/11 18:58,GV500CG
#2950,缺陷,Major,ST[HMC]使用协议定义<Initial Hour Meter Count>参数最大值1193000:00:00，命令下发失败,关闭,bennett.cui-HFSW,,1h,0.5h,0.5h,0,ciara.bai-HFST,2023/7/17 10:37,GV500CG
#2872,缺陷,Critical,"ST[GTBTS] 设备上报+EVT报文GTBCS,GTBDS与协议定义不一致，中间多了一些输入输出的00，无法解析",关闭,bennett.cui-HFSW,,1h,1h,0h,0,secret.wang-HFST,2023/7/13 17:20,GV500CG
#2871,缺陷,Critical,ST[GTBAS]设备下发GTBAS失败，返回ERROR,关闭,bennett.cui-HFSW,,1h,1h,0h,0,secret.wang-HFST,2023/7/13 16:53,GV500CG
#2867,缺陷,Major,"ST[GTBTS]  SMS下发命令成功，SMS没有返回+ACK:GTBTS,但是服务器返回了+ACK:GTBTS",关闭,bennett.cui-HFSW,,1h,0.5h,0.5h,0,secret.wang-HFST,2023/7/13 15:40,GV500CG
#2863,缺陷,Major,ST[GTBTS]  查询GTBTS的默认参数中Bluetooth Name与协议定义不一致,关闭,bennett.cui-HFSW,,0.5h,0.5h,0h,0,secret.wang-HFST,2023/7/13 15:25,GV500CG
#2799,缺陷,Critical,ST[DOG]<Send Failure Timeout>=5，关闭上报端口20min后重新打开，期间设备未发生重启，无+BUFF:GTDOG报文,关闭,bennett.cui-HFSW,,1h,1h,0h,0,ciara.bai-HFST,2023/7/12 17:46,GV500CG
#2796,缺陷,Critical,ST[TOW]<Engine Off to Tow>=1|2|3|4时，AT+GTTOW命令下发失败，查询结果与下发参数不一致,关闭,bennett.cui-HFSW,,1h,0.5h,0.5h,0,ciara.bai-HFST,2023/7/12 16:26,GV500CG
#2662,缺陷,Critical,ST[EMG&DUC]不支持EMG和DUC功能，命令下发失败,关闭,bennett.cui-HFSW,,2h,1h,1h,0,ciara.bai-HFST,2023/7/10 15:31,GV500CG
#838,缺陷,Major,ST[GTACD]ACD仅开启EIO100 Connection，OEX处于输出状态，关闭EIO100 Connection然后再开启，下发OEX停止输出和触发输出无DOS报文上报，再次下发停止输出才上报DOS报文,关闭,bennett.cui-HFSW,,0h,0h,0h,0,len.liu-HFSW,2023/5/18 16:56,GV350CEU
#355,缺陷,Major,"ST[GDO]交互SOS功能并触发SOS报警上报GTSOS,OUTPUT setting中OUTPUT1 STATUSmode为1和2时，进入SOS后输出灯表现正常，退出SOS后输出灯仍常亮",关闭,bennett.cui-HFSW,,0h,0h,0h,0,bella.ge-HFST,2023/4/19 16:26,GV57CG
#10504,缺陷,Critical,ST[协议版本号]报文中协议版本号未升级，与P4协议文档定义不一致,关闭,bear.cao-HFSW,,0h,0h,0h,0,sandy.wu-HFST,2024/2/28 11:48,GV350CEU_MCT
#10047,子任务,,GV58LAU_HEX校对+问题修改,未开始,bear.cao-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/2/5 14:35,Protocol_Dev
#10038,子任务,,GV58CEU(CG)_HEX校对+问题修改,未开始,bear.cao-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/2/5 14:32,Protocol_Dev
#10005,子任务,,GV75LAU_HEX校对+问题修改,未开始,bear.cao-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/2/5 14:23,Protocol_Dev
#9643,子任务,,GV305CEU_HEX校对,已完成,bear.cao-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/31 9:55,Protocol_Dev
#9543,子任务,,GV310LAU网站协议HEX校对修改,未开始,bear.cao-HFSW,,0h,0h,0h,,ernie.hu-HFSW,2024/1/30 9:37,Protocol_Dev
#9255,缺陷,Critical,ST[GTHMC]下发HMC支持的最大范围1193000:00:00，实际上报为99999:00:00,待处理,bear.cao-HFSW,,0h,0h,0h,0,reese.wang-HFST,2024/1/22 14:59,GV350CEU_TAS
#9252,缺陷,Critical,ST[GTIDS]查询IDS配置，显示有type1类型，实际只支持type0,待处理,bear.cao-HFSW,,0h,0h,0h,0,reese.wang-HFST,2024/1/22 14:44,GV350CEU_TAS
#9142,缺陷,Critical,ST[MSF]MSF中配置Filter Mode对+ACK:GTSRI报文不起作用,关闭,bear.cao-HFSW,,0h,0h,0h,0,leon.zhou-HFST,2024/1/18 14:41,GV355CEU
#8948,缺陷,Major,ST[ATC]内容为<AT+CSUB>后，返回的结果无法单独上报,待处理,bear.cao-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/1/12 12:00,GMT200N_MOB
#8921,缺陷,Major,ST[RTO]GTALM报文和协议定义不一致,待处理,bear.cao-HFSW,,0h,0h,0h,0,helena.hu-HFST,2024/1/11 18:49,GMT200N_MOB
#8391,缺陷,Critical,ST[HRM]can mask不生效,关闭,bear.cao-HFSW,,0h,0h,0h,0,dale.liang-HFST,2023/12/27 18:11,GV58CEU
#6944,缺陷,Critical,ST[GTBTD]AT+GTRTO:<Sub Command>=2查询全部配置，GTBTD的配置不会上报至ALM报文中,关闭,bear.cao-HFSW,,1h,1h,0h,0,reese.wang-HFST,2023/11/16 15:09,GV350CEU
#6880,缺陷,Major,ST[HMC] Initial Hour Meter Count值设置为1193000:00:00下发，返回error,关闭,bear.cao-HFSW,,0h,0h,0h,0,zoe.tan-HFST,2023/11/15 13:38,GV305CEU
#6840,PROTOCOL,,PROTOCOL: 添加新命令AT+GTCDS用于控制DR102蜂鸣器和LED的输出状态,已完成,bear.cao-HFSW,,6h,6h,0h,,bear.cao-HFSW,2023/11/14 14:45,GV350CEU
#6730,需求,,SW[BB-GV355CEU] integrate FCS-D01 fuel sensor [Monito],NO_FEEDBACK,bear.cao-HFSW,2023/12/6,0h,4h,0h,,penny.pei,2023/11/10 11:32,GV355CEU
#6062,需求,,SW[BB-GV350CEU] Machinestalk Customized FW [MT],关闭,bear.cao-HFSW,2024/1/5,40h,22h,18h,,penny.pei,2023/10/19 11:37,GV350CEU_MCT
#5830,FAE_BUG,Normal,SW[GV350CEU_R01A01V09_TAS] GTIDS ACK Confirmation [TASTES EasyConnect],REJECTED,bear.cao-HFSW,,0h,2h,0h,,rperez,2023/10/12 6:37,GV350CEU_TAS
#4842,缺陷,Major,ST[CAN]mask全部勾选，使用模拟数据测试GTCAN报文格式和协议不一致,待处理,bear.cao-HFSW,,0h,0h,0h,0,helena.hu-HFST,2023/9/6 15:15,GV350CEU_TAS
#4222,缺陷,Major,ST[GTALM]RTO-2查询，上报的ALM报文中Current Packet比Total Packets大1,待处理,bear.cao-HFSW,,0h,0h,0h,0,leon.zhou-HFST,2023/8/17 20:10,GV350CEU_TAS
#10182,缺陷,Critical,ST[版本名称]指令查询A10V20版本名称不对,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/2/20 15:10,GV300CEU_TZA
#10115,缺陷,Major,ST[TMP]模式3下，进入温度范围内触发output灯常亮，温度到达范围外，output灯会先灭再常亮,关闭,arthur.lee-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/2/7 17:05,GV300CEU_TZA
#10106,缺陷,Major,ST[RMS]蓝牙重启会影响ABV上报间隔,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/2/7 9:58,GV300CEU_TZA
#9979,缺陷,Major,ST[VVS]电压自校准功能不生效,待讨论,arthur.lee-HFSW,,0h,0h,0h,0,ice.zhou-HFST,2024/2/5 9:43,GV300CEU_TZA
#9824,缺陷,Major,ST[CRA]模式3，Acceleration Frequency Mode设置4，设备几乎不能触发撞击,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/2/2 17:16,GV300CEU_TZA
#9787,缺陷,Major,ST[UPD]fota升级到A05V20版本，高概率出现不上报UPD-301,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/2/2 10:20,GV300CEU_TZA
#9777,缺陷,Major,ST[CRA]设备定位失败，DAT报文中的第一个GNSS时间点错误,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/2/1 19:06,GV300CEU_TZA
#9753,缺陷,Major,ST[CRA]出现一次设备触发撞击后，上报了500多条+DAT报文，且DAT报文的Total Frame一直是2，数据长度Frame Length一直是0,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/2/1 16:07,GV300CEU_TZA
#9694,缺陷,Major,ST[CRA]Confirmation Time从3切换到15，设备撞击不上报CRA，只上报DAT，之后速度不满足撞击也会上报DAT，,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/31 17:19,GV300CEU_TZA
#9662,缺陷,Major,ST[CRA]ODO Confirmation参数不能置空下发，Speed Confirmation，Confirmation Time，Fall Degrees参数置空下发后回读参数异常,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/31 10:46,GV300CEU_TZA
#9615,任务,,GV301CEU TZA A10V13参数包,已完成,arthur.lee-HFSW,2024/2/23,0h,0h,0h,,forrest.cao-HFPM,2024/1/30 18:26,GV300CEU_TZA
#9610,任务,,GV300CEU TZA A10V13 参数包送测,已完成,arthur.lee-HFSW,2024/2/23,0h,0h,0h,,forrest.cao-HFPM,2024/1/30 17:25,GV300CEU_TZA
#9486,缺陷,Critical,ST[CRA]模式3，速度，里程和角度都满足条件，撞击不上报CRA,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/27 16:11,GV300CEU_TZA
#9485,缺陷,Major,ST[CRA]没有触发CRA，角度变化上报了03类型的FOD报文,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/27 12:57,GV300CEU_TZA
#9481,FAE_BUG,,GV301CEU_TZA excess amount of GTRMK report sent after 3-day watchdog reboot occured,NO_FEEDBACK,arthur.lee-HFSW,,0h,0h,0h,,imaric,2024/1/26 21:43,GV300CEU_TZA
#9442,缺陷,Major,ST[CRA]速度满足，撞击设备也不上报CRA,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/26 15:02,GV300CEU_TZA
#9419,缺陷,Major,ST[CRA]模式3，设备速度一直大于Speed Confirmation，撞击会上报+DAT,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/26 10:41,GV300CEU_TZA
#9407,缺陷,Major,ST[CRA]模式3，设备撞击角度不满足，也会触发撞击事件,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/25 18:28,GV300CEU_TZA
#9403,缺陷,Major,ST[RMS]PDS开启，设备点火重启前GTBAI报文中Visible Status是1，重启后RTO-14查询BAI报文中Visible Status是0,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/25 17:13,GV300CEU_TZA
#9350,缺陷,Critical,ST[CRA]CRA模式3，触发撞击不上报GTCRA,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/24 15:51,GV300CEU_TZA
#9348,缺陷,Critical,ST[SVR]设备上报RMK会影响SVR上报间隔,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/24 15:05,GV300CEU_TZA
#9298,缺陷,Major,ST[SVR]SVR断开后上报第四条SVR-0和第五条SVR-0间隔不对,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/23 13:59,GV300CEU_TZA
#9186,缺陷,Major,ST[CRA]Sampling Start设置1，设备重启后42状态不能触发撞击，切换一次Sampling Start后，42状态可以触发撞击,关闭,arthur.lee-HFSW,,0h,0h,0h,0,freda.wang-HFST,2024/1/19 15:28,GV300CEU_TZA
#9183,需求,,SW[BB-GV300CEU]Change the GTBAI logic[TZA],NO_RESPONSE,arthur.lee-HFSW,2024/2/7,0h,0h,0h,,wayne.song,2024/1/19 14:44,GV300CEU_TZA
#9176,需求,,SW[BB-GV300CEU]Randomize the GTABV send time[TZA],关闭,arthur.lee-HFSW,,0h,0h,0h,,wayne.song,2024/1/19 11:49,GV300CEU_TZA
#9054,缺陷,Critical,ST[CRA]模式2，设备速度一直大于Speed Confirmation，撞击会上报CRA，+DAT,关闭,arthur.lee-HFSW,,0h,0h,0h,2,freda.wang-HFST,2024/1/16 15:06,GV300CEU_TZA
